ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{639F6626-4F5E-4F78-A85C-BFB39A4477F7},91000,1995-07-14 00:00,WC2B 5EG,F,N,L,8,FLAT 41,NEWTON STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2068.18181818182,1995.0,1995-07-14,F,L,91000.0,WC2B 5EG,E09000007,{639F6626-4F5E-4F78-A85C-BFB39A4477F7},18996650.0,44.0,2.0,12.0,68.0,75.0,England and Wales: 1976-1982,2068.18181818182,2.0,44.0,68.0,England and Wales: 1976-1982,WC2B,1995
{59B09FC4-ACDA-4E16-8F19-C399FF49F75A},175000,1995-07-31 00:00,WC2B 5PY,F,N,L,11 - 13,FLAT 1,BROAD COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1842.10526315789,1995.0,1995-07-31,F,L,175000.0,WC2B 5PY,E09000033,{59B09FC4-ACDA-4E16-8F19-C399FF49F75A},21875362.0,95.0,3.0,11.0,54.0,77.0,England and Wales: before 1900,1842.10526315789,3.0,95.0,54.0,England and Wales: before 1900,WC2B,1995
{43D36D13-7998-4E69-BD2C-60033F16E32C},71000,1995-09-29 00:00,WC2B 5EU,F,N,L,FLETCHER BUILDINGS,FLAT 14,MARTLETT COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2316.47634584013,1995.0,1995-09-29,F,L,71000.0,WC2B 5EU,E09000033,{43D36D13-7998-4E69-BD2C-60033F16E32C},21923579.0,30.65,2.0,12.0,77.0,81.0,England and Wales: 1900-1929,2316.47634584013,2.0,30.65,77.0,England and Wales: 1900-1929,WC2B,1995
{045D9815-15C8-4C2A-A4D3-6E88551509B6},143000,1995-06-14 00:00,WC2B 5QN,F,N,L,19,FLAT 21,BROAD COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2648.14814814815,1995.0,1995-06-14,F,L,143000.0,WC2B 5QN,E09000033,{045D9815-15C8-4C2A-A4D3-6E88551509B6},21904507.0,54.0,3.0,12.0,66.0,79.0,England and Wales: before 1900,2648.14814814815,3.0,54.0,66.0,England and Wales: before 1900,WC2B,1995
{77235A11-2A73-46E9-83E4-79CB97A7E4F1},81000,1995-07-12 00:00,WC2B 5ND,F,N,L,"WINTER GARDEN HOUSE, 2",FLAT 44,MACKLIN STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1975.60975609756,1995.0,1995-07-12,F,L,81000.0,WC2B 5ND,E09000007,{77235A11-2A73-46E9-83E4-79CB97A7E4F1},19004059.0,41.0,2.0,11.0,60.0,60.0,England and Wales: 1967-1975,1975.60975609756,2.0,41.0,60.0,England and Wales: 1967-1975,WC2B,1995
{861D4EAA-1EC9-4825-B198-DDBFE4AAE52F},75000,1995-04-21 00:00,WC2B 5EU,F,N,L,FLETCHER BUILDINGS,FLAT 4,MARTLETT COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2500.0,1995.0,1995-04-21,F,L,75000.0,WC2B 5EU,E09000033,{861D4EAA-1EC9-4825-B198-DDBFE4AAE52F},21860963.0,30.0,2.0,11.0,52.0,73.0,England and Wales: 1930-1949,2500.0,2.0,30.0,52.0,England and Wales: 1930-1949,WC2B,1995
{2A289E9C-E52C-CDC8-E050-A8C063054829},32844,1995-01-30 00:00,WC2B 5SF,F,N,L,BEAUMONT BUILDINGS,FLAT 33,MARTLETT COURT,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,608.222222222222,1995.0,1995-01-30,F,L,32844.0,WC2B 5SF,E09000033,{2A289E9C-E52C-CDC8-E050-A8C063054829},21921532.0,54.0,4.0,12.0,36.0,78.0,England and Wales: 1900-1929,608.222222222222,4.0,54.0,36.0,England and Wales: 1900-1929,WC2B,1995
{049FE610-E58D-4B53-8433-907670CB4854},141500,1995-02-03 00:00,WC2B 5RX,F,N,L,44 - 46,FLAT 12,DRURY LANE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3031.27677806341,1995.0,1995-02-03,F,L,141500.0,WC2B 5RX,E09000033,{049FE610-E58D-4B53-8433-907670CB4854},21834084.0,46.68,2.0,12.0,80.0,82.0,England and Wales: 1983-1990,3031.27677806341,2.0,46.68,80.0,England and Wales: 1983-1990,WC2B,1995
{2A289E9E-CE9C-CDC8-E050-A8C063054829},46000,1996-03-28 00:00,WC2B 5ND,F,N,L,"WINTER GARDEN HOUSE, 2",FLAT 61,MACKLIN STREET,,LONDON,CAMDEN,GREATER LONDON,1121.9512195122,1996.0,1996-03-28,F,L,46000.0,WC2B 5ND,E09000007,{2A289E9E-CE9C-CDC8-E050-A8C063054829},19028453.0,41.0,2.0,11.0,50.0,50.0,England and Wales: 1967-1975,1121.9512195122,2.0,41.0,50.0,England and Wales: 1967-1975,WC2B,1996
{71FD9126-085C-444F-A4DE-AFF6C81FDAB6},125000,1996-02-28 00:00,WC2B 5NJ,F,N,L,19,FLAT C,MACKLIN STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,3378.37837837838,1996.0,1996-02-28,F,L,125000.0,WC2B 5NJ,E09000007,{71FD9126-085C-444F-A4DE-AFF6C81FDAB6},19056179.0,37.0,2.0,11.0,67.0,78.0,England and Wales: before 1900,3378.37837837838,2.0,37.0,67.0,England and Wales: before 1900,WC2B,1996
